text,label
I will die,High
I want to die,High
I am going to kill myself,High
I want to kill myself,High
I wish I was dead,High
I don't want to live anymore,High
I am going to end my life,High
I want to end it all,High
I am planning to hurt myself,High
I want to hurt myself,High
I feel like dying,High
I should just die,High
Nobody cares if I live or die,High
I might as well be dead,High
I have nothing to live for,High
I am going to do it tonight,High
I have decided to end my life,High
I bought pills to end things,High
I said goodbye to everyone today,High
I wrote my final note,High
I feel so hopeless and don't see any point in continuing,High
I can't stop crying and I don't know why,High
I've been thinking about hurting myself lately,High
Everything feels dark and I'm exhausted all the time,High
I feel like a burden to everyone around me,High
No one would miss me if I disappeared,High
I can't get out of bed and haven't eaten in days,High
I feel completely numb and disconnected from everything,High
I've been having thoughts of ending my life,High
I feel trapped and there's no way out,High
Life doesn't feel worth living anymore,High
I'm in so much pain and I don't know how to cope,High
I feel like I'm drowning and can't breathe,High
I've lost all hope and am ready to give up,High
I feel completely worthless and don't deserve help,High
My mind won't stop racing and I'm terrified of myself,High
I've been writing final goodbye messages to people I love,High
I feel like everyone would be better off without me,High
I can't see a future for myself at all,High
I'm exhausted and I just want everything to stop,High
I've been struggling with dark thoughts and feel very alone,High
I'm so stressed I feel like I might break down completely,High
The pain inside is unbearable and constant,High
I've stopped caring about anything including my own life,High
I feel completely broken beyond repair,High
I am so close to ending everything,High
I have no reason to keep going,High
I feel like disappearing forever,High
I can not take this pain anymore and want it all to stop,High
There is no point in me being here anymore,High
I feel like I'm a waste of space and should not exist,High
I've been thinking about suicide every single day,High
I feel like the world would be better without me in it,High
I've been researching ways to end my life,High
I just want this existence to end,High
I've been feeling really anxious lately and it's hard to focus,Medium
I'm overwhelmed with work and can't seem to relax,Medium
I've been having trouble sleeping for the past few weeks,Medium
I feel irritable and snappy with people I care about,Medium
I've been avoiding social situations because of anxiety,Medium
My mood has been very low and I don't enjoy things anymore,Medium
I feel constant worry about things I can't control,Medium
I've been eating too much or too little lately,Medium
I feel disconnected from friends and family,Medium
Work stress is making it hard to function normally,Medium
I've been crying more than usual and feeling sad,Medium
I feel like I can't handle the pressure anymore,Medium
My concentration is really poor and I keep forgetting things,Medium
I've been having panic attacks occasionally,Medium
I feel like I'm just going through the motions every day,Medium
I've lost interest in hobbies I used to enjoy,Medium
I feel drained and have very low energy most days,Medium
Sometimes I feel like I'm failing at everything,Medium
I've been more irritable than usual and isolating myself,Medium
I feel stuck in life and unsure what to do next,Medium
I'm worried about my mental health but managing okay,Medium
I've been feeling a bit down lately but nothing too serious,Medium
I had a rough week but I'm starting to feel better,Medium
I feel mildly stressed about upcoming deadlines,Medium
I've noticed some changes in my mood but I think it's manageable,Medium
I feel okay most days but have occasional bad moments,Medium
I'm a bit anxious about a big presentation at work,Medium
I've been feeling more tired than usual lately,Medium
I feel slightly overwhelmed but I'm coping,Medium
Things have been tough but I'm pushing through,Medium
I cried myself to sleep again last night and don't know why,Medium
I feel anxious about my health and keep imagining worst cases,Medium
I've been having recurring nightmares and can't sleep well,Medium
I feel unmotivated and find it hard to start any task,Medium
I feel like I'm always on edge and waiting for something bad,Medium
I need to talk to someone but don't know where to start,Medium
I've been through a tough breakup and feeling sad,Medium
I feel mentally exhausted and drained from everything,Medium
I've been overthinking everything and it's wearing me down,Medium
I feel like I'm not good enough and constantly doubt myself,Medium
I've been struggling to find motivation to do basic things,Medium
I feel isolated and like no one truly understands me,Medium
I'm feeling great today and really optimistic about the future,Low
I had a wonderful time with friends and family this weekend,Low
I feel happy and energized and ready to take on the world,Low
Things are going really well for me right now,Low
I feel grateful and content with my life,Low
I just finished an amazing workout and feel fantastic,Low
I'm excited about a new opportunity at work,Low
I feel connected and loved by people around me,Low
Life is good and I'm enjoying every moment of it,Low
I feel calm peaceful and at ease today,Low
I just got great news and I'm feeling on top of the world,Low
I'm enjoying my hobbies and feeling creative lately,Low
I feel healthy strong and mentally sharp,Low
I had a productive day and I'm feeling proud of myself,Low
I'm looking forward to an exciting trip next week,Low
I feel motivated and inspired to achieve my goals,Low
I woke up feeling refreshed and happy this morning,Low
I feel balanced and in control of my emotions,Low
I'm appreciating the small joys in life today,Low
Everything is going smoothly and I feel optimistic,Low
I feel a little tired but overall doing well,Low
I had a normal day nothing special but feeling okay,Low
I'm a bit bored but content with life in general,Low
I feel fine today just going about my routine,Low
I'm doing well overall just taking life one day at a time,Low
I feel satisfied with how things are progressing,Low
I had a good conversation with a friend and feel supported,Low
I'm feeling calm and collected despite a busy schedule,Low
I feel neutral today not great but not bad either,Low
I'm enjoying some quiet time at home and feeling relaxed,Low
I took a long walk and it really helped clear my mind,Low
I feel grateful for the support I have from my loved ones,Low
I'm learning something new and it's keeping me engaged,Low
I exercised today and feel much better than yesterday,Low
I feel hopeful that tomorrow will be a better day,Low
I'm taking care of myself and making time to relax,Low
I had a cozy evening with a good book and felt very peaceful,Low
I feel thankful for the little things that make life beautiful,Low
